Solving with SCIP 8.1.0 [LP solver: Glop 9.9]
Total makespan = 37.0
y 2 1 0.0
y 3 0 1.0
y 3 1 0.0
y 4 0 1.0
y 4 1 0.0
y 5 0 1.0
y 5 1 0.0
y 6 0 1.0
y 6 1 0.0
y 7 0 1.0
y 7 1 0.0
y 8 0 1.0
y 8 1 0.0
y 9 0 1.0
y 9 1 0.0
y 10 0 1.0
y 10 1 0.0
y 11 0 1.0
y 11 1 0.0
y 12 0 1.0
y 12 1 0.0
y 13 0 1.0
y 13 1 0.0
y 14 0 1.0
y 14 1 0.0
y 15 0 1.0
y 15 1 0.0
y 16 0 1.0
y 16 1 0.0
y 17 0 1.0
y 17 1 0.0
y 18 0 1.0
y 18 1 0.0
y 19 0 1.0
y 19 1 0.0
y 20 0 1.0
y 20 1 0.0
y 21 0 1.0
y 21 1 0.0
y 22 0 1.0
y 22 1 0.0
y 23 0 1.0
y 23 1 0.0
y 24 0 1.0
y 24 1 0.0
y 25 0 1.0
y 25 1 0.0
y 26 0 1.0
y 26 1 0.0
y 27 0 1.0
y 27 1 0.0
y 28 0 1.0
y 28 1 0.0
y 29 0 1.0
y 29 1 0.0
y 30 0 1.0
y 30 1 0.0
y 31 0 1.0
y 31 1 0.0
y 32 0 1.0
y 32 1 0.0
y 33 0 1.0
y 33 1 0.0
y 34 0 1.0
y 34 1 0.0
y 35 0 1.0
y 35 1 0.0
y 36 0 1.0
y 36 1 0.0
y 37 0 1.0
y 37 1 0.0
y 38 0 1.0
y 38 1 0.0
y 39 0 1.0
y 39 1 0.0
y 40 0 1.0
y 40 1 0.0
y 41 0 1.0
y 41 1 0.0
y 42 0 1.0
y 42 1 0.0
y 43 0 1.0
y 43 1 0.0
y 44 0 1.0
y 44 1 0.0
y 45 0 1.0
y 45 1 0.0
y 46 0 1.0
y 46 1 0.0
y 47 0 1.0
y 47 1 0.0
y 48 0 1.0
y 48 1 0.0
y 49 0 1.0
y 49 1 0.0
x 0 0 0 1.0
x 0 1 0 0.0
x 0 2 0 0.0
x 0 0 1 1.0
x 0 1 1 0.0
x 0 2 1 0.0
x 0 0 2 1.0
x 0 1 2 0.0
x 0 2 2 0.0
x 0 0 3 1.0
x 0 1 3 0.0
x 0 2 3 0.0
x 1 0 0 1.0
x 1 1 0 0.0
x 1 2 0 0.0
x 1 0 1 1.0
x 1 1 1 0.0
x 1 2 1 0.0
x 1 0 2 1.0
x 1 1 2 0.0
x 1 2 2 0.0
x 1 0 3 1.0
x 1 1 3 0.0
x 1 2 3 0.0
x 2 0 0 1.0
x 2 1 0 0.0
x 2 2 0 0.0
x 2 0 1 1.0
x 2 1 1 0.0
x 2 2 1 0.0
x 2 0 2 1.0
x 2 1 2 0.0
x 2 2 2 0.0
x 2 0 3 1.0
x 2 1 3 0.0
x 2 2 3 0.0
x 3 0 0 1.0
x 3 1 0 0.0
x 3 2 0 0.0
x 3 0 1 1.0
x 3 1 1 0.0
x 3 2 1 0.0
x 3 0 2 1.0
x 3 1 2 0.0
x 3 2 2 0.0
x 3 0 3 1.0
x 3 1 3 0.0
x 3 2 3 0.0
x 4 0 0 1.0
x 4 1 0 0.0
x 4 2 0 0.0
x 4 0 1 1.0
x 4 1 1 0.0
x 4 2 1 0.0
x 4 0 2 1.0
x 4 1 2 0.0
x 4 2 2 0.0
x 4 0 3 1.0
x 4 1 3 0.0
x 4 2 3 0.0
x 5 0 0 1.0
x 5 1 0 0.0
x 5 2 0 0.0
x 5 0 1 1.0
x 5 1 1 0.0
x 5 2 1 0.0
x 5 0 2 1.0
x 5 1 2 0.0
x 5 2 2 0.0
x 5 0 3 1.0
x 5 1 3 0.0
x 5 2 3 0.0
x 6 0 0 1.0
x 6 1 0 0.0
x 6 2 0 0.0
x 6 0 1 1.0
x 6 1 1 0.0
x 6 2 1 0.0
x 6 0 2 1.0
x 6 1 2 0.0
x 6 2 2 0.0
x 6 0 3 1.0
x 6 1 3 0.0
x 6 2 3 0.0
x 7 0 0 1.0
x 7 1 0 0.0
x 7 2 0 0.0
x 7 0 1 1.0
x 7 1 1 0.0
x 7 2 1 0.0
x 7 0 2 1.0
x 7 1 2 0.0
x 7 2 2 0.0
x 7 0 3 1.0
x 7 1 3 0.0
x 7 2 3 0.0
x 8 0 0 1.0
x 8 1 0 0.0
x 8 2 0 0.0
x 8 0 1 1.0
x 8 1 1 0.0
x 8 2 1 0.0
x 8 0 2 1.0
x 8 1 2 0.0
x 8 2 2 0.0
x 8 0 3 1.0
x 8 1 3 0.0
x 8 2 3 0.0
x 9 0 0 1.0
x 9 1 0 0.0
x 9 2 0 0.0
x 9 0 1 1.0
x 9 1 1 0.0
x 9 2 1 0.0
x 9 0 2 1.0
x 9 1 2 0.0
x 9 2 2 0.0
x 9 0 3 1.0
x 9 1 3 0.0
x 9 2 3 0.0
x 10 0 0 1.0
x 10 1 0 0.0
x 10 2 0 0.0
x 10 0 1 1.0
x 10 1 1 0.0
x 10 2 1 0.0
x 10 0 2 1.0
x 10 1 2 0.0
x 10 2 2 0.0
x 10 0 3 1.0
x 10 1 3 0.0
x 10 2 3 0.0
x 11 0 0 1.0
x 11 1 0 0.0
x 11 2 0 0.0
x 11 0 1 1.0
x 11 1 1 0.0
x 11 2 1 0.0
x 11 0 2 1.0
x 11 1 2 0.0
x 11 2 2 0.0
x 11 0 3 1.0
x 11 1 3 0.0
x 11 2 3 0.0
x 12 0 0 1.0
x 12 1 0 0.0
x 12 2 0 0.0
x 12 0 1 1.0
x 12 1 1 0.0
x 12 2 1 0.0
x 12 0 2 1.0
x 12 1 2 0.0
x 12 2 2 0.0
x 12 0 3 1.0
x 12 1 3 0.0
x 12 2 3 0.0
x 13 0 0 1.0
x 13 1 0 0.0
x 13 2 0 0.0
x 13 0 1 1.0
x 13 1 1 0.0
x 13 2 1 0.0
x 13 0 2 1.0
x 13 1 2 0.0
x 13 2 2 0.0
x 13 0 3 1.0
x 13 1 3 0.0
x 13 2 3 0.0
x 14 0 0 1.0
x 14 1 0 0.0
x 14 2 0 0.0
x 14 0 1 1.0
x 14 1 1 0.0
x 14 2 1 0.0
x 14 0 2 1.0
x 14 1 2 0.0
x 14 2 2 0.0
x 14 0 3 1.0
x 14 1 3 0.0
x 14 2 3 0.0
x 15 0 0 1.0
x 15 1 0 0.0
x 15 2 0 0.0
x 15 0 1 1.0
x 15 1 1 0.0
x 15 2 1 0.0
x 15 0 2 1.0
x 15 1 2 0.0
x 15 2 2 0.0
x 15 0 3 1.0
x 15 1 3 0.0
x 15 2 3 0.0
x 16 0 0 1.0
x 16 1 0 0.0
x 16 2 0 0.0
x 16 0 1 1.0
x 16 1 1 0.0
x 16 2 1 0.0
x 16 0 2 1.0
x 16 1 2 0.0
x 16 2 2 0.0
x 16 0 3 1.0
x 16 1 3 0.0
x 16 2 3 0.0
x 17 0 0 1.0
x 17 1 0 0.0
x 17 2 0 0.0
x 17 0 1 1.0
x 17 1 1 0.0
x 17 2 1 0.0
x 17 0 2 1.0
x 17 1 2 0.0
x 17 2 2 0.0
x 17 0 3 1.0
x 17 1 3 0.0
x 17 2 3 0.0
x 18 0 0 1.0
x 18 1 0 0.0
x 18 2 0 0.0
x 18 0 1 1.0
x 18 1 1 0.0
x 18 2 1 0.0
x 18 0 2 1.0
x 18 1 2 0.0
x 18 2 2 0.0
x 18 0 3 1.0
x 18 1 3 0.0
x 18 2 3 0.0
x 19 0 0 1.0
x 19 1 0 0.0
x 19 2 0 0.0
x 19 0 1 1.0
x 19 1 1 0.0
x 19 2 1 0.0
x 19 0 2 1.0
x 19 1 2 0.0
x 19 2 2 0.0
x 19 0 3 1.0
x 19 1 3 0.0
x 19 2 3 0.0
x 20 0 0 1.0
x 20 1 0 0.0
x 20 2 0 0.0
x 20 0 1 1.0
x 20 1 1 0.0
x 20 2 1 0.0
x 20 0 2 1.0
x 20 1 2 0.0
x 20 2 2 0.0
x 20 0 3 1.0
x 20 1 3 0.0
x 20 2 3 0.0
x 21 0 0 1.0
x 21 1 0 0.0
x 21 2 0 0.0
x 21 0 1 1.0
x 21 1 1 0.0
x 21 2 1 0.0
x 21 0 2 1.0
x 21 1 2 0.0
x 21 2 2 0.0
x 21 0 3 1.0
x 21 1 3 0.0
x 21 2 3 0.0
x 22 0 0 1.0
x 22 1 0 0.0
x 22 2 0 0.0
x 22 0 1 1.0
x 22 1 1 0.0
x 22 2 1 0.0
x 22 0 2 1.0
x 22 1 2 0.0
x 22 2 2 0.0
x 22 0 3 1.0
x 22 1 3 0.0
x 22 2 3 0.0
x 23 0 0 1.0
x 23 1 0 0.0
x 23 2 0 0.0
x 23 0 1 1.0
x 23 1 1 0.0
x 23 2 1 0.0
x 23 0 2 1.0
x 23 1 2 0.0
x 23 2 2 0.0
x 23 0 3 1.0
x 23 1 3 0.0
x 23 2 3 0.0
x 24 0 0 1.0
x 24 1 0 0.0
x 24 2 0 0.0
x 24 0 1 1.0
x 24 1 1 0.0
x 24 2 1 0.0
x 24 0 2 1.0
x 24 1 2 0.0
x 24 2 2 0.0
x 24 0 3 1.0
x 24 1 3 0.0
x 24 2 3 0.0
x 25 0 0 1.0
x 25 1 0 0.0
x 25 2 0 0.0
x 25 0 1 1.0
x 25 1 1 0.0
x 25 2 1 0.0
x 25 0 2 1.0
x 25 1 2 0.0
x 25 2 2 0.0
x 25 0 3 1.0
x 25 1 3 0.0
x 25 2 3 0.0
x 26 0 0 1.0
x 26 1 0 0.0
x 26 2 0 0.0
x 26 0 1 1.0
x 26 1 1 0.0
x 26 2 1 0.0
x 26 0 2 1.0
x 26 1 2 0.0
x 26 2 2 0.0
x 26 0 3 1.0
x 26 1 3 0.0
x 26 2 3 0.0
x 27 0 0 1.0
x 27 1 0 0.0
x 27 2 0 0.0
x 27 0 1 1.0
x 27 1 1 0.0
x 27 2 1 0.0
x 27 0 2 1.0
x 27 1 2 0.0
x 27 2 2 0.0
x 27 0 3 1.0
x 27 1 3 0.0
x 27 2 3 0.0
x 28 0 0 1.0
x 28 1 0 0.0
x 28 2 0 0.0
x 28 0 1 1.0
x 28 1 1 0.0
x 28 2 1 0.0
x 28 0 2 1.0
x 28 1 2 0.0
x 28 2 2 0.0
x 28 0 3 1.0
x 28 1 3 0.0
x 28 2 3 0.0
x 29 0 0 1.0
x 29 1 0 0.0
x 29 2 0 0.0
x 29 0 1 1.0
x 29 1 1 0.0
x 29 2 1 0.0
x 29 0 2 1.0
x 29 1 2 0.0
x 29 2 2 0.0
x 29 0 3 1.0
x 29 1 3 0.0
x 29 2 3 0.0
x 30 0 0 1.0
x 30 1 0 0.0
x 30 2 0 0.0
x 30 0 1 1.0
x 30 1 1 0.0
x 30 2 1 0.0
x 30 0 2 1.0
x 30 1 2 0.0
x 30 2 2 0.0
x 30 0 3 1.0
x 30 1 3 0.0
x 30 2 3 0.0
x 31 0 0 1.0
x 31 1 0 0.0
x 31 2 0 0.0
x 31 0 1 1.0
x 31 1 1 0.0
x 31 2 1 0.0
x 31 0 2 1.0
x 31 1 2 0.0
x 31 2 2 0.0
x 31 0 3 1.0
x 31 1 3 0.0
x 31 2 3 0.0
x 32 0 0 1.0
x 32 1 0 0.0
x 32 2 0 0.0
x 32 0 1 1.0
x 32 1 1 0.0
x 32 2 1 0.0
x 32 0 2 1.0
x 32 1 2 0.0
x 32 2 2 0.0
x 32 0 3 1.0
x 32 1 3 0.0
x 32 2 3 0.0
x 33 0 0 1.0
x 33 1 0 0.0
x 33 2 0 0.0
x 33 0 1 1.0
x 33 1 1 0.0
x 33 2 1 0.0
x 33 0 2 1.0
x 33 1 2 0.0
x 33 2 2 0.0
x 33 0 3 1.0
x 33 1 3 0.0
x 33 2 3 0.0
x 34 0 0 1.0
x 34 1 0 0.0
x 34 2 0 0.0
x 34 0 1 1.0
x 34 1 1 0.0
x 34 2 1 0.0
x 34 0 2 1.0
x 34 1 2 0.0
x 34 2 2 0.0
x 34 0 3 1.0
x 34 1 3 0.0
x 34 2 3 0.0
x 35 0 0 1.0
x 35 1 0 0.0
x 35 2 0 0.0
x 35 0 1 1.0
x 35 1 1 0.0
x 35 2 1 0.0
x 35 0 2 1.0
x 35 1 2 0.0
x 35 2 2 0.0
x 35 0 3 1.0
x 35 1 3 0.0
x 35 2 3 0.0
x 36 0 0 1.0
x 36 1 0 0.0
x 36 2 0 0.0
x 36 0 1 1.0
x 36 1 1 0.0
x 36 2 1 0.0
x 36 0 2 1.0
x 36 1 2 0.0
x 36 2 2 0.0
x 36 0 3 1.0
x 36 1 3 0.0
x 36 2 3 0.0
x 37 0 0 1.0
x 37 1 0 0.0
x 37 2 0 0.0
x 37 0 1 1.0
x 37 1 1 0.0
x 37 2 1 0.0
x 37 0 2 1.0
x 37 1 2 0.0
x 37 2 2 0.0
x 37 0 3 1.0
x 37 1 3 0.0
x 37 2 3 0.0
x 38 0 0 1.0
x 38 1 0 0.0
x 38 2 0 0.0
x 38 0 1 1.0
x 38 1 1 0.0
x 38 2 1 0.0
x 38 0 2 1.0
x 38 1 2 0.0
x 38 2 2 0.0
x 38 0 3 1.0
x 38 1 3 0.0
x 38 2 3 0.0
x 39 0 0 1.0
x 39 1 0 0.0
x 39 2 0 0.0
x 39 0 1 1.0
x 39 1 1 0.0
x 39 2 1 0.0
x 39 0 2 1.0
x 39 1 2 0.0
x 39 2 2 0.0
x 39 0 3 1.0
x 39 1 3 0.0
x 39 2 3 0.0
x 40 0 0 1.0
x 40 1 0 0.0
x 40 2 0 0.0
x 40 0 1 1.0
x 40 1 1 0.0
x 40 2 1 0.0
x 40 0 2 1.0
x 40 1 2 0.0
x 40 2 2 0.0
x 40 0 3 1.0
x 40 1 3 0.0
x 40 2 3 0.0
x 41 0 0 1.0
x 41 1 0 0.0
x 41 2 0 0.0
x 41 0 1 1.0
x 41 1 1 0.0
x 41 2 1 0.0
x 41 0 2 1.0
x 41 1 2 0.0
x 41 2 2 0.0
x 41 0 3 1.0
x 41 1 3 0.0
x 41 2 3 0.0
x 42 0 0 1.0
x 42 1 0 0.0
x 42 2 0 0.0
x 42 0 1 1.0
x 42 1 1 0.0
x 42 2 1 0.0
x 42 0 2 1.0
x 42 1 2 0.0
x 42 2 2 0.0
x 42 0 3 1.0
x 42 1 3 0.0
x 42 2 3 0.0
x 43 0 0 1.0
x 43 1 0 0.0
x 43 2 0 0.0
x 43 0 1 1.0
x 43 1 1 0.0
x 43 2 1 0.0
x 43 0 2 1.0
x 43 1 2 0.0
x 43 2 2 0.0
x 43 0 3 1.0
x 43 1 3 0.0
x 43 2 3 0.0
x 44 0 0 1.0
x 44 1 0 0.0
x 44 2 0 0.0
x 44 0 1 1.0
x 44 1 1 0.0
x 44 2 1 0.0
x 44 0 2 1.0
x 44 1 2 0.0
x 44 2 2 0.0
x 44 0 3 1.0
x 44 1 3 0.0
x 44 2 3 0.0
x 45 0 0 1.0
x 45 1 0 0.0
x 45 2 0 0.0
x 45 0 1 1.0
x 45 1 1 0.0
x 45 2 1 0.0
x 45 0 2 1.0
x 45 1 2 0.0
x 45 2 2 0.0
x 45 0 3 1.0
x 45 1 3 0.0
x 45 2 3 0.0
x 46 0 0 1.0
x 46 1 0 0.0
x 46 2 0 0.0
x 46 0 1 1.0
x 46 1 1 0.0
x 46 2 1 0.0
x 46 0 2 1.0
x 46 1 2 0.0
x 46 2 2 0.0
x 46 0 3 1.0
x 46 1 3 0.0
x 46 2 3 0.0
x 47 0 0 1.0
x 47 1 0 0.0
x 47 2 0 0.0
x 47 0 1 1.0
x 47 1 1 0.0
x 47 2 1 0.0
x 47 0 2 1.0
x 47 1 2 0.0
x 47 2 2 0.0
x 47 0 3 1.0
x 47 1 3 0.0
x 47 2 3 0.0
x 48 0 0 1.0
x 48 1 0 0.0
x 48 2 0 0.0
x 48 0 1 1.0
x 48 1 1 0.0
x 48 2 1 0.0
x 48 0 2 1.0
x 48 1 2 0.0
x 48 2 2 0.0
x 48 0 3 1.0
x 48 1 3 0.0
x 48 2 3 0.0
x 49 0 0 1.0
x 49 1 0 0.0
x 49 2 0 0.0
x 49 0 1 1.0
x 49 1 1 0.0
x 49 2 1 0.0
x 49 0 2 1.0
x 49 1 2 0.0
x 49 2 2 0.0
x 49 0 3 1.0
x 49 1 3 0.0
x 49 2 3 0.0
z 0 0 0 0.0
z 0 0 1 0.0
z 0 0 2 0.0
z 0 0 3 0.0
z 0 1 0 0.0
z 0 1 1 0.0
z 0 1 2 0.0
z 0 1 3 0.0
z 0 2 0 0.0
z 0 2 1 0.0
z 0 2 2 0.0
z 0 2 3 0.0
z 0 3 0 0.0
z 0 3 1 0.0
z 0 3 2 0.0
z 0 3 3 0.0
z 0 4 0 0.0
z 0 4 1 0.0
z 0 4 2 0.0
z 0 4 3 0.0
z 0 5 0 0.0
z 0 5 1 0.0
z 0 5 2 0.0
z 0 5 3 0.0
z 0 6 0 0.0
z 0 6 1 0.0
z 0 6 2 0.0
z 0 6 3 0.0
z 0 7 0 0.0
z 0 7 1 0.0
z 0 7 2 0.0
z 0 7 3 0.0
z 0 8 0 0.0
z 0 8 1 0.0
z 0 8 2 0.0
z 0 8 3 0.0
z 0 9 0 0.0
z 0 9 1 0.0
z 0 9 2 0.0
z 0 9 3 0.0
z 0 10 0 0.0
z 0 10 1 0.0
z 0 10 2 0.0
z 0 10 3 0.0
z 0 11 0 0.0
z 0 11 1 0.0
z 0 11 2 0.0
z 0 11 3 0.0
z 0 12 0 0.0
z 0 12 1 0.0
z 0 12 2 0.0
z 0 12 3 0.0
z 0 13 0 0.0
z 0 13 1 0.0
z 0 13 2 0.0
z 0 13 3 0.0
z 0 14 0 0.0
z 0 14 1 0.0
z 0 14 2 0.0
z 0 14 3 0.0
z 0 15 0 0.0
z 0 15 1 0.0
z 0 15 2 0.0
z 0 15 3 0.0
z 0 16 0 0.0
z 0 16 1 0.0
z 0 16 2 0.0
z 0 16 3 0.0
z 0 17 0 0.0
z 0 17 1 0.0
z 0 17 2 0.0
z 0 17 3 0.0
z 0 18 0 0.0
z 0 18 1 0.0
z 0 18 2 0.0
z 0 18 3 0.0
z 0 19 0 0.0
z 0 19 1 0.0
z 0 19 2 0.0
z 0 19 3 0.0
z 0 20 0 0.0
z 0 20 1 0.0
z 0 20 2 0.0
z 0 20 3 0.0
z 0 21 0 0.0
z 0 21 1 0.0
z 0 21 2 0.0
z 0 21 3 0.0
z 0 22 0 0.0
z 0 22 1 0.0
z 0 22 2 0.0
z 0 22 3 0.0
z 0 23 0 0.0
z 0 23 1 0.0
z 0 23 2 0.0
z 0 23 3 0.0
z 0 24 0 0.0
z 0 24 1 0.0
z 0 24 2 0.0
z 0 24 3 0.0
z 0 25 0 0.0
z 0 25 1 0.0
z 0 25 2 0.0
z 0 25 3 0.0
z 0 26 0 0.0
z 0 26 1 0.0
z 0 26 2 0.0
z 0 26 3 0.0
z 0 27 0 0.0
z 0 27 1 0.0
z 0 27 2 0.0
z 0 27 3 0.0
z 0 28 0 0.0
z 0 28 1 0.0
z 0 28 2 0.0
z 0 28 3 0.0
z 0 29 0 0.0
z 0 29 1 0.0
z 0 29 2 0.0
z 0 29 3 0.0
z 0 30 0 0.0
z 0 30 1 0.0
z 0 30 2 0.0
z 0 30 3 0.0
z 0 31 0 0.0
z 0 31 1 0.0
z 0 31 2 0.0
z 0 31 3 0.0
z 0 32 0 0.0
z 0 32 1 0.0
z 0 32 2 0.0
z 0 32 3 0.0
z 0 33 0 0.0
z 0 33 1 0.0
z 0 33 2 0.0
z 0 33 3 0.0
z 0 34 0 0.0
z 0 34 1 0.0
z 0 34 2 0.0
z 0 34 3 0.0
z 0 35 0 0.0
z 0 35 1 0.0
z 0 35 2 0.0
z 0 35 3 0.0
z 0 36 0 0.0
z 0 36 1 0.0
z 0 36 2 0.0
z 0 36 3 0.0
z 0 37 0 0.0
z 0 37 1 0.0
z 0 37 2 0.0
z 0 37 3 0.0
z 0 38 0 0.0
z 0 38 1 0.0
z 0 38 2 0.0
z 0 38 3 0.0
z 0 39 0 0.0
z 0 39 1 0.0
z 0 39 2 0.0
z 0 39 3 0.0
z 0 40 0 0.0
z 0 40 1 0.0
z 0 40 2 0.0
z 0 40 3 0.0
z 0 41 0 0.0
z 0 41 1 0.0
z 0 41 2 0.0
z 0 41 3 0.0
z 0 42 0 0.0
z 0 42 1 0.0
z 0 42 2 0.0
z 0 42 3 0.0
z 0 43 0 0.0
z 0 43 1 0.0
z 0 43 2 0.0
z 0 43 3 0.0
z 0 44 0 0.0
z 0 44 1 0.0
z 0 44 2 0.0
z 0 44 3 0.0
z 0 45 0 0.0
z 0 45 1 0.0
z 0 45 2 0.0
z 0 45 3 0.0
z 0 46 0 0.0
z 0 46 1 0.0
z 0 46 2 0.0
z 0 46 3 0.0
z 0 47 0 0.0
z 0 47 1 0.0
z 0 47 2 0.0
z 0 47 3 0.0
z 0 48 0 0.0
z 0 48 1 0.0
z 0 48 2 0.0
z 0 48 3 0.0
z 0 49 0 0.0
z 0 49 1 0.0
z 0 49 2 0.0
z 0 49 3 0.0
z 1 0 0 0.0
z 1 0 1 0.0
z 1 0 2 0.0
z 1 0 3 0.0
z 1 1 0 0.0
z 1 1 1 0.0
z 1 1 2 0.0
z 1 1 3 0.0
z 1 2 0 0.0
z 1 2 1 0.0
z 1 2 2 0.0
z 1 2 3 0.0
z 1 3 0 0.0
z 1 3 1 0.0
z 1 3 2 0.0
z 1 3 3 0.0
z 1 4 0 0.0
z 1 4 1 0.0
z 1 4 2 0.0
z 1 4 3 0.0
z 1 5 0 0.0
z 1 5 1 0.0
z 1 5 2 0.0
z 1 5 3 0.0
z 1 6 0 0.0
z 1 6 1 0.0
z 1 6 2 0.0
z 1 6 3 0.0
z 1 7 0 0.0
z 1 7 1 0.0
z 1 7 2 0.0
z 1 7 3 0.0
z 1 8 0 0.0
z 1 8 1 0.0
z 1 8 2 0.0
z 1 8 3 0.0
z 1 9 0 0.0
z 1 9 1 0.0
z 1 9 2 0.0
z 1 9 3 0.0
z 1 10 0 0.0
z 1 10 1 0.0
z 1 10 2 0.0
z 1 10 3 0.0
z 1 11 0 0.0
z 1 11 1 0.0
z 1 11 2 0.0
z 1 11 3 0.0
z 1 12 0 0.0
z 1 12 1 0.0
z 1 12 2 0.0
z 1 12 3 0.0
z 1 13 0 0.0
z 1 13 1 0.0
z 1 13 2 0.0
z 1 13 3 0.0
z 1 14 0 0.0
z 1 14 1 0.0
z 1 14 2 0.0
z 1 14 3 0.0
z 1 15 0 0.0
z 1 15 1 0.0
z 1 15 2 0.0
z 1 15 3 0.0
z 1 16 0 0.0
z 1 16 1 0.0
z 1 16 2 0.0
z 1 16 3 0.0
z 1 17 0 0.0
z 1 17 1 0.0
z 1 17 2 0.0
z 1 17 3 0.0
z 1 18 0 0.0
z 1 18 1 0.0
z 1 18 2 0.0
z 1 18 3 0.0
z 1 19 0 0.0
z 1 19 1 0.0
z 1 19 2 0.0
z 1 19 3 0.0
z 1 20 0 0.0
z 1 20 1 0.0
z 1 20 2 0.0
z 1 20 3 0.0
z 1 21 0 0.0
z 1 21 1 0.0
z 1 21 2 0.0
z 1 21 3 0.0
z 1 22 0 0.0
z 1 22 1 0.0
z 1 22 2 0.0
z 1 22 3 0.0
z 1 23 0 0.0
z 1 23 1 0.0
z 1 23 2 0.0
z 1 23 3 0.0
z 1 24 0 0.0
z 1 24 1 0.0
z 1 24 2 0.0
z 1 24 3 0.0
z 1 25 0 0.0
z 1 25 1 0.0
z 1 25 2 0.0
z 1 25 3 0.0
z 1 26 0 0.0
z 1 26 1 0.0
z 1 26 2 0.0
z 1 26 3 0.0
z 1 27 0 0.0
